ID azienda,Area of Activity,EMTAK Code,NACE Code,Source
381,Computer programming activities,62011 (EMTAK 2008),62.01,Annual report                                    (23.02.2022)                                    
382,Other information technology and computer service activities,62091 (EMTAK 2008),62.09,Annual report                                    (21.09.2021)                                    
383,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.20,Annual report                                    (30.06.2022)                                    
387,Real estate agencies,68311 (EMTAK 2008),68.31,Annual report                                    (14.07.2022)                                    
388,Hotels,55101 (EMTAK 2008),55.10,Annual report                                    (01.07.2022)                                    
389,Web portals,63121 (EMTAK 2008),63.12,Electronic submission                                    (13.03.2018)                                    
390,"Restaurants, cafeterias and other catering places",56101 (EMTAK 2008),56.10,Electronic submission                                    (03.10.2017)                                    
392,Advertising agencies,73111 (EMTAK 2008),73.11,Electronic submission                                    (28.06.2022)                                    
393,Construction of residential and non-residential buildings,41201 (EMTAK 2008),41.20,Annual report                                    (05.12.2017)                                    
394,Specialised design activities,74101 (EMTAK 2008),74.10,Annual report                                    (24.07.2022)                                    
395,Computer programming activities,62011 (EMTAK 2008),62.01,Electronic submission                                    (15.04.2022)                                    
398,Support services to forestry,02401 (EMTAK 2008),02.40,Annual report                                    (17.06.2022)                                    
399,Installation of electrical wiring and fittings,43211 (EMTAK 2008),43.21,Annual report                                    (16.03.2022)                                    
403,Activities of amusement parks and theme parks,93211 (EMTAK 2008),93.21,Annual report                                    (03.04.2022)                                    
404,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.20,Annual report                                    (07.07.2022)                                    
406,Support services to forestry,02401 (EMTAK 2008),02.40,Annual report                                    (15.06.2022)                                    
407,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Annual report                                    (18.05.2022)                                    
410,Activities of sports clubs,93121 (EMTAK 2008),93.12,Annual report                                    (27.05.2021)                                    
412,"Production and presentation of live concerts, musical creation and other similar activities",90012 (EMTAK 2008),90.01,Annual report                                    (30.06.2022)                                    
415,"Other financial service activities, except insurance and pension funding n.e.c.",64991 (EMTAK 2008),64.99,Electronic submission                                    (28.12.2020)                                    
416,Construction of residential and non-residential buildings,41201 (EMTAK 2008),41.20,Annual report                                    (24.05.2021)                                    
417,Other information technology and computer service activities,62091 (EMTAK 2008),62.09,Annual report                                    (26.06.2022)                                    
418,Other amusement and recreation activities not classified elsewhere,93299 (EMTAK 2008),93.29,Electronic submission                                    (20.09.2017)                                    
419,Other education not classified elsewhere,85599 (EMTAK 2008),85.59,Annual report                                    (18.04.2022)                                    
421,"Ethnic minorities organisations and cultural societies, associations for the purpose of integrityand friendship between nations",94994 (EMTAK 2008),94.99,Electronic submission                                    (25.11.2021)                                    
423,Other amusement and recreation activities not classified elsewhere,93299 (EMTAK 2008),93.29,Annual report                                    (30.06.2021)                                    
424,Language training,85591 (EMTAK 2008),85.59,Annual report                                    (08.07.2022)                                    
425,Language training,85591 (EMTAK 2008),85.59,Electronic submission                                    (04.07.2022)                                    
426,Other business support service activities n.e.c.,82991 (EMTAK 2008),82.99,Annual report                                    (11.04.2022)                                    
427,Culture centres and community centres,93291 (EMTAK 2008),93.29,Annual report                                    (02.07.2022)                                    
429,"Restaurants, cafeterias and other catering places",56101 (EMTAK 2008),56.10,Annual report                                    (30.05.2022)                                    
430,Language training,85591 (EMTAK 2008),85.59,Annual report                                    (05.07.2022)                                    
431,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.20,Electronic submission                                    (01.04.2022)                                    
434,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.20,Annual report                                    (10.03.2022)                                    
437,"Installation of heating, ventilation and air conditioning equipment",43221 (EMTAK 2008),43.22,Annual report                                    (30.09.2022)                                    
438,Translation and interpretation activities,74301 (EMTAK 2008),74.30,Annual report                                    (29.03.2022)                                    
439,Manufacture of other special-purpose machinery n.e.c.,28991 (EMTAK 2008),28.99,Electronic submission                                    (19.02.2018)                                    
440,Other personal service activities n.e.c.,9609 (EMTAK 2008),96.09,Annual report                                    (24.08.2022)                                    
441,Combined facilities support activities,81101 (EMTAK 2008),81.10,Annual report                                    (10.03.2022)                                    
443,Landscape service activities,81301 (EMTAK 2008),81.30,Annual report                                    (10.08.2022)                                    
445,Other service activities,96099 (EMTAK 2008),96.09,Electronic submission                                    (20.10.2021)                                    
447,"Other retail sale not in stores, stalls or markets",47991 (EMTAK 2008),47.99,Annual report                                    (30.01.2022)                                    
448,Other information service activities n.e.c.,63991 (EMTAK 2008),63.99,Electronic submission                                    (23.08.2022)                                    
450,"Other retail sale not in stores, stalls or markets",47991 (EMTAK 2008),47.99,Annual report                                    (19.01.2018)                                    
451,Activities of amusement parks and theme parks,93211 (EMTAK 2008),93.21,Electronic submission                                    (18.08.2021)                                    
453,Raising of other cattle and buffaloes,01421 (EMTAK 2008),01.42,Annual report                                    (16.03.2022)                                    
454,Freight transport by road,49411 (EMTAK 2008),49.41,Annual report                                    (30.06.2022)                                    
456,Buying and selling of own real estate,68101 (EMTAK 2008),68.10,Annual report                                    (19.05.2012)                                    
458,Hairdressing and other beauty treatment,96021 (EMTAK 2008),96.02,Annual report                                    (02.02.2022)                                    
459,Specialised design activities,74101 (EMTAK 2008),74.10,Annual report                                    (02.07.2022)                                    
460,Museums activities,91021 (EMTAK 2008),91.02,Electronic submission                                    (19.04.2021)                                    
461,Other business support service activities n.e.c.,82991 (EMTAK 2008),82.99,Annual report                                    (31.07.2022)                                    
462,Non-specialised wholesale trade,46901 (EMTAK 2008),46.90,Annual report                                    (08.04.2022)                                    
463,Car washing and other services,45202 (EMTAK 2008),45.20,Annual report                                    (16.07.2022)                                    
465,Installation of fire and burglar alarm systems,43212 (EMTAK 2008),43.21,Annual report                                    (28.06.2012)                                    
467,Computer programming activities,62011 (EMTAK 2008),62.01,Annual report                                    (30.06.2022)                                    
468,Computer consultancy activities,62021 (EMTAK 2008),62.02,Annual report                                    (15.02.2022)                                    
469,"Other retail sale not in stores, stalls or markets",47991 (EMTAK 2008),47.99,Annual report                                    (15.09.2022)                                    
470,Other information technology and computer service activities,62091 (EMTAK 2008),62.09,Annual report                                    (01.07.2018)                                    
472,"Bookkeeping, tax consulting",69202 (EMTAK 2008),69.20,Annual report                                    (30.08.2021)                                    
474,Pre\xe2\x88\x92press and pre\xe2\x88\x92media services,18131 (EMTAK 2008),18.13,Annual report                                    (30.06.2022)                                    
475,Constructional engineering-technical designing and consulting,71121 (EMTAK 2008),71.12,Annual report                                    (29.06.2010)                                    
476,Computer consultancy activities,62021 (EMTAK 2008),62.02,Annual report                                    (30.06.2022)                                    
477,Hairdressing and other beauty treatment,96021 (EMTAK 2008),96.02,Annual report                                    (06.03.2018)                                    
480,Electrical installation,4321 (EMTAK 2008),43.21,Electronic submission                                    (02.12.2009)                                    
481,Sale of cars and light motor vehicles,45111 (EMTAK 2008),45.11,Annual report                                    (20.07.2022)                                    
482,Other business support service activities n.e.c.,82991 (EMTAK 2008),82.99,Electronic submission                                    (06.12.2022)                                    
483,Other engineering-technical activities,71129 (EMTAK 2008),71.12,Electronic submission                                    (07.11.2022)                                    
484,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.20,Annual report                                    (23.05.2022)                                    
486,Passenger air transport,51101 (EMTAK 2008),51.10,Annual report                                    (06.08.2020)                                    
487,"Activities of saunas, sunbeds and massage salons and other services related to physical well-being",96041 (EMTAK 2008),96.04,Annual report                                    (30.06.2022)                                    
488,Sports and recreation education,8551 (EMTAK 2008),85.51,Annual report                                    (03.04.2022)                                    
490,Other manufacturing n.e.c.,32991 (EMTAK 2008),32.99,Annual report                                    (20.05.2022)                                    
492,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Annual report                                    (30.06.2022)                                    
495,Wholesale of medical appliances and surgical and orthopaedic instruments and devices,46462 (EMTAK 2008),46.46,Annual report                                    (26.08.2022)                                    
496,Associations and foundations for the purpose of regional/local life development and support,94992 (EMTAK 2008),94.99,Annual report                                    (30.06.2022)                                    
497,Activities of amusement parks and theme parks,93211 (EMTAK 2008),93.21,Annual report                                    (18.01.2022)                                    
498,Other education not classified elsewhere,85599 (EMTAK 2008),85.59,Annual report                                    (15.06.2022)                                    
499,Educational support activities,85601 (EMTAK 2008),85.60,Electronic submission                                    (02.02.2010)                                    
501,"Motion picture, video and television programme production activities",5911 (EMTAK 2008),59.11,Electronic submission                                    (10.09.2018)                                    
502,Hairdressing and other beauty treatment,96021 (EMTAK 2008),96.02,Annual report                                    (27.02.2017)                                    
503,Non-specialised wholesale trade,46901 (EMTAK 2008),46.90,Annual report                                    (30.06.2021)                                    
504,Artistic creation,90031 (EMTAK 2008),90.03,Annual report                                    (29.06.2022)                                    
506,Wholesale trade of motor vehicle parts and accessories,45311 (EMTAK 2008),45.31,Electronic submission                                    (24.11.2022)                                    
515,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Annual report                                    (08.04.2022)                                    
518,Other personal service activities n.e.c.,9609 (EMTAK 2008),96.09,Annual report                                    (28.06.2022)                                    
521,"Production and presentation of live concerts, musical creation and other similar activities",90012 (EMTAK 2008),90.01,Electronic submission                                    (25.07.2017)                                    
522,Activities of sports clubs,93121 (EMTAK 2008),93.12,Annual report                                    (30.06.2018)                                    
526,Production of electricity,3511 (EMTAK 2008),35.11,Electronic submission                                    (30.09.2020)                                    
527,Logging,0220 (EMTAK 2008),02.20,Annual report                                    (16.06.2022)                                    
528,Other construction installation,4329 (EMTAK 2008),43.29,Annual report                                    (10.10.2022)                                    
529,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Annual report                                    (30.06.2022)                                    
530,Veterinary activities,75001 (EMTAK 2008),75.00,Annual report                                    (12.06.2022)                                    
532,"Motion picture, video and television programme production activities",5911 (EMTAK 2008),59.11,Annual report                                    (12.09.2022)                                    
533,Support activities for crop production,01611 (EMTAK 2008),01.61,Annual report                                    (28.06.2022)                                    
535,Other passenger land transport n.e.c.,4939 (EMTAK 2008),49.39,Electronic submission                                    (23.07.2009)                                    
536,"Growing of cereals (except rice), leguminous crops and oil seeds",01111 (EMTAK 2008),01.11,Electronic submission                                    (11.06.2013)                                    
538,"Production and presentation of live concerts, musical creation and other similar activities",90012 (EMTAK 2008),90.01,Electronic submission                                    (03.08.2015)                                    
541,Retail sale via mail order houses or via Internet,47911 (EMTAK 2008),47.91,Annual report                                    (19.04.2022)                                    
543,Other cleaning activities of buildings and industrial cleaning,81221 (EMTAK 2008),81.22,Annual report                                    (14.07.2019)                                    
544,"Other professional, scientific and technical activities n.e.c.",74901 (EMTAK 2008),74.90,Electronic submission                                    (24.04.2019)                                    
547,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Electronic submission                                    (28.02.2022)                                    
549,Other amusement and recreation activities,9329 (EMTAK 2008),93.29,Electronic submission                                    (20.07.2022)                                    
550,Photographic activities,74201 (EMTAK 2008),74.20,Electronic submission                                    (28.08.2022)                                    
553,"Other retail sale not in stores, stalls or markets",47991 (EMTAK 2008),47.99,Electronic submission                                    (12.05.2020)                                    
555,Mixed farming,01501 (EMTAK 2008),01.50,Electronic submission                                    (04.08.2009)                                    
559,Computer programming activities,62011 (EMTAK 2008),62.01,Annual report                                    (04.05.2022)                                    
568,Other specialised construction activities n.e.c.,4399 (EMTAK 2008),43.99,Electronic submission                                    (03.01.2017)                                    
572,"Production and presentation of live concerts, musical creation and other similar activities",90012 (EMTAK 2008),90.01,Annual report                                    (25.05.2020)                                    
573,Mixed farming,01501 (EMTAK 2008),01.50,The undertaking notified himself/herself                                    (14.10.2009)                                    
575,Taxi operation,49321 (EMTAK 2008),49.32,Electronic submission                                    (06.04.2022)                                    
576,"Installation of heating, ventilation and air conditioning equipment",43221 (EMTAK 2008),43.22,Annual report                                    (14.10.2022)                                    
577,Non-specialised wholesale trade,46901 (EMTAK 2008),46.90,Annual report                                    (28.07.2022)                                    
579,Construction of residential and non-residential buildings,41201 (EMTAK 2008),41.20,Electronic submission                                    (20.01.2020)                                    
580,Retail sale via mail order houses or via Internet,47911 (EMTAK 2008),47.91,Electronic submission                                    (15.03.2022)                                    
582,"Activities of saunas, sunbeds and massage salons and other services related to physical well-being",96041 (EMTAK 2008),96.04,Annual report                                    (30.06.2022)                                    
583,Car washing and other services,45202 (EMTAK 2008),45.20,Annual report                                    (09.07.2022)                                    
584,Retail sale via mail order houses or via Internet,47911 (EMTAK 2008),47.91,Annual report                                    (29.03.2022)                                    
588,Retail sale via mail order houses or via Internet,47911 (EMTAK 2008),47.91,Annual report                                    (11.04.2022)                                    
589,Wholesale of equipment used in food industry and commercial activities,46693 (EMTAK 2008),46.69,Annual report                                    (19.06.2018)                                    
591,Other amusement and recreation activities,9329 (EMTAK 2008),93.29,Annual report                                    (08.02.2022)                                    
593,"Bookkeeping, tax consulting",69202 (EMTAK 2008),69.20,Annual report                                    (01.03.2018)                                    
594,Activities of insurance agents and brokers,66221 (EMTAK 2008),66.22,Annual report                                    (12.10.2022)                                    
595,Wholesale of sanitary equipment and other construction materials,46732 (EMTAK 2008),46.73,Annual report                                    (28.01.2022)                                    
596,"Wholesale of wood, construction materials and sanitary equipment",4673 (EMTAK 2008),46.73,Annual report                                    (11.03.2022)                                    
597,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.20,Electronic submission                                    (09.12.2021)                                    
598,Other business support service activities n.e.c.,82991 (EMTAK 2008),82.99,Annual report                                    (22.06.2018)                                    
601,"Other activities auxiliary to financial services, except insurance and pension funding",6619 (EMTAK 2008),66.19,Annual report                                    (30.06.2022)                                    
602,Construction of residential and non-residential buildings,41201 (EMTAK 2008),41.20,Annual report                                    (01.08.2022)                                    
603,Installation of plumbing and sanitary equipment,43222 (EMTAK 2008),43.22,Annual report                                    (29.06.2022)                                    
604,Pet care services,96091 (EMTAK 2008),96.09,Annual report                                    (25.06.2022)                                    
605,Other business support service activities n.e.c.,82991 (EMTAK 2008),82.99,Electronic submission                                    (14.07.2021)                                    
606,Real estate agencies,68311 (EMTAK 2008),68.31,Annual report                                    (21.03.2022)                                    
607,Removal services,49421 (EMTAK 2008),49.42,Annual report                                    (30.06.2022)                                    
609,Other education not classified elsewhere,85599 (EMTAK 2008),85.59,Annual report                                    (26.10.2021)                                    
610,General cleaning of buildings,81211 (EMTAK 2008),81.21,Electronic submission                                    (14.03.2022)                                    
612,Combined facilities support activities,81101 (EMTAK 2008),81.10,Annual report                                    (20.06.2022)                                    
614,Other information technology and computer service activities,62091 (EMTAK 2008),62.09,Annual report                                    (29.06.2022)                                    
615,Manufacture of other metal structures and parts of structures,25119 (EMTAK 2008),25.11,Annual report                                    (17.01.2022)                                    
616,Activities of amusement parks and theme parks,93211 (EMTAK 2008),93.21,Annual report                                    (02.11.2022)                                    
620,Freight transport by road,49411 (EMTAK 2008),49.41,Annual report                                    (26.04.2018)                                    
621,"Associations and social clubs related to recreational activities, entertainment, cultural activities or hobbies",94995 (EMTAK 2008),94.99,Electronic submission                                    (28.10.2020)                                    
623,Construction of other civil engineering projects n.e.c.,42991 (EMTAK 2008),42.99,Annual report                                    (06.07.2022)                                    
624,Raising of horses and other equines,01431 (EMTAK 2008),01.43,Annual report                                    (23.03.2022)                                    
625,"Activities of saunas, sunbeds and massage salons and other services related to physical well-being",96041 (EMTAK 2008),96.04,Electronic submission                                    (02.11.2022)                                    
629,Other personal service activities n.e.c.,9609 (EMTAK 2008),96.09,Annual report                                    (20.04.2021)                                    
630,Other personal service activities n.e.c.,9609 (EMTAK 2008),96.09,Electronic submission                                    (15.06.2018)                                    
632,Activities of sports clubs,93121 (EMTAK 2008),93.12,Annual report                                    (15.07.2022)                                    
633,Hotels,55101 (EMTAK 2008),55.10,Annual report                                    (30.06.2022)                                    
635,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.20,Annual report                                    (30.06.2022)                                    
639,Language training,85591 (EMTAK 2008),85.59,Electronic submission                                    (04.08.2022)                                    
641,"Bookkeeping, tax consulting",69202 (EMTAK 2008),69.20,Annual report                                    (26.06.2022)                                    
642,Real estate agencies,68311 (EMTAK 2008),68.31,Annual report                                    (03.11.2021)                                    
643,"Activities of saunas, sunbeds and massage salons and other services related to physical well-being",96041 (EMTAK 2008),96.04,Electronic submission                                    (13.07.2021)                                    
644,Computer programming activities,62011 (EMTAK 2008),62.01,Annual report                                    (07.04.2022)                                    
645,Other information technology and computer service activities,62091 (EMTAK 2008),62.09,Electronic submission                                    (15.02.2021)                                    
646,Artistic creation,90031 (EMTAK 2008),90.03,Electronic submission                                    (16.08.2021)                                    
647,Advertising agencies,73111 (EMTAK 2008),73.11,Annual report                                    (07.07.2022)                                    
649,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.20,Electronic submission                                    (11.11.2021)                                    
650,Computer consultancy activities,62021 (EMTAK 2008),62.02,Annual report                                    (21.02.2022)                                    
651,Construction of residential and non-residential buildings,41201 (EMTAK 2008),41.20,Electronic submission                                    (09.09.2016)                                    
652,Other research and experimental development on natural sciences and engineering,72191 (EMTAK 2008),72.19,Annual report                                    (28.07.2022)                                    
653,"Bookkeeping, tax consulting",69202 (EMTAK 2008),69.20,Electronic submission                                    (02.03.2021)                                    
654,"Other professional, scientific and technical activities n.e.c.",74901 (EMTAK 2008),74.90,Annual report                                    (16.07.2017)                                    
655,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.20,Electronic submission                                    (23.11.2021)                                    
656,Manufacture of office and shop furniture,31011 (EMTAK 2008),31.01,Electronic submission                                    (11.12.2018)                                    
658,Wholesale of perfume and cosmetics,46451 (EMTAK 2008),46.45,Annual report                                    (03.07.2022)                                    
660,Real estate agencies,68311 (EMTAK 2008),68.31,Annual report                                    (18.04.2022)                                    
661,General cleaning of buildings,81211 (EMTAK 2008),81.21,Annual report                                    (30.06.2022)                                    
662,Other information technology and computer service activities,62091 (EMTAK 2008),62.09,Annual report                                    (03.07.2022)                                    
663,Buying and selling of own real estate,68101 (EMTAK 2008),68.10,Electronic submission                                    (02.11.2017)                                    
664,Agents involved in the sale of a variety of goods,46191 (EMTAK 2008),46.19,Annual report                                    (29.04.2020)                                    
666,Construction of residential and non-residential buildings,41201 (EMTAK 2008),41.20,Annual report                                    (04.07.2022)                                    
668,Computer programming activities,62011 (EMTAK 2008),62.01,Electronic submission                                    (22.07.2022)                                    
669,Satellite communication services,61301 (EMTAK 2008),61.30,Electronic submission                                    (07.01.2022)                                    
670,"Activities of saunas, sunbeds and massage salons and other services related to physical well-being",96041 (EMTAK 2008),96.04,Electronic submission                                    (09.11.2021)                                    
671,"Restaurants, cafeterias and other catering places",56101 (EMTAK 2008),56.10,Annual report                                    (17.05.2018)                                    
672,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Annual report                                    (31.03.2022)                                    
673,Construction of residential and non-residential buildings,41201 (EMTAK 2008),41.20,Annual report                                    (07.01.2022)                                    
674,Constructional engineering-technical designing and consulting,71121 (EMTAK 2008),71.12,Annual report                                    (25.02.2022)                                    
676,Computer programming activities,62011 (EMTAK 2008),62.01,Electronic submission                                    (21.10.2021)                                    
678,Bed-and-breakfast,55205 (EMTAK 2008),55.20,Annual report                                    (24.11.2022)                                    
679,Hairdressing and other beauty treatment,96021 (EMTAK 2008),96.02,Electronic submission                                    (29.12.2020)                                    
680,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Electronic submission                                    (23.12.2019)                                    
681,Other personal service activities n.e.c.,9609 (EMTAK 2008),96.09,Electronic submission                                    (12.12.2017)                                    
682,Computer programming activities,62011 (EMTAK 2008),62.01,Electronic submission                                    (17.01.2019)                                    
683,Marine fishing,03111 (EMTAK 2008),03.11,Field of activity code data encoding by RIK                                    (16.01.2001)                                    
684,Other information technology and computer service activities,62091 (EMTAK 2008),62.09,Electronic submission                                    (28.06.2018)                                    
686,Music and art education,85521 (EMTAK 2008),85.52,Electronic submission                                    (16.09.2018)                                    
687,Production of television programmes,59112 (EMTAK 2008),59.11,Annual report                                    (19.10.2020)                                    
689,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Electronic submission                                    (16.06.2022)                                    
690,Other business support service activities n.e.c.,82991 (EMTAK 2008),82.99,Electronic submission                                    (31.12.2021)                                    
691,"Activities of saunas, sunbeds and massage salons and other services related to physical well-being",96041 (EMTAK 2008),96.04,Annual report                                    (30.06.2022)                                    
692,Media representation,73121 (EMTAK 2008),73.12,Annual report                                    (17.01.2022)                                    
694,Specialised design activities,74101 (EMTAK 2008),74.10,Annual report                                    (26.09.2022)                                    
695,Provision of specialised medical treatment,86221 (EMTAK 2008),86.22,Annual report                                    (18.01.2022)                                    
697,Artistic creation,90031 (EMTAK 2008),90.03,Electronic submission                                    (30.11.2021)                                    
700,Support services to forestry,02401 (EMTAK 2008),02.40,Electronic submission                                    (21.10.2022)                                    
702,"Agents involved in the sale of food, beverages and tobacco",46171 (EMTAK 2008),46.17,Annual report                                    (29.06.2017)                                    
703,"Restaurants, cafeterias and other catering places",56101 (EMTAK 2008),56.10,Electronic submission                                    (29.10.2018)                                    
704,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Electronic submission                                    (22.09.2022)                                    
705,Activities of holding companies,64201 (EMTAK 2008),64.20,Electronic submission                                    (17.12.2021)                                    
706,Computer programming activities,62011 (EMTAK 2008),62.01,Annual report                                    (14.10.2022)                                    
707,Other retail sale in non-specialised stores,47191 (EMTAK 2008),47.19,Annual report                                    (22.06.2022)                                    
708,Computer programming activities,62011 (EMTAK 2008),62.01,Electronic submission                                    (16.04.2020)                                    
709,Business and other management consultancy activities,70221 (EMTAK 2008),70.22,Annual report                                    (27.12.2018)                                    
710,Other business support service activities n.e.c.,82991 (EMTAK 2008),82.99,Electronic submission                                    (22.12.2021)                                    
711,Hairdressing and other beauty treatment,96021 (EMTAK 2008),96.02,Annual report                                    (23.02.2022)                                    
713,Other business support service activities n.e.c.,82991 (EMTAK 2008),82.99,Electronic submission                                    (02.04.2015)                                    
714,Other manufacturing n.e.c.,32991 (EMTAK 2008),32.99,Annual report                                    (11.06.2021)                                    
715,Architectural activities,71111 (EMTAK 2008),71.11,Annual report                                    (30.06.2022)                                    
716,Retail sale via mail order houses or via Internet,47911 (EMTAK 2008),47.91,Annual report                                    (12.11.2021)                                    
717,"Growing of vegetables (including gourds), roots and tubers, including mushrooms",01131 (EMTAK 2008),01.13,Annual report                                    (16.06.2022)                                    
718,"Growing of vegetables (including gourds), roots and tubers, including mushrooms",01131 (EMTAK 2008),01.13,Annual report                                    (25.06.2022)                                    
719,Development of building projects,41101 (EMTAK 2008),41.10,Electronic submission                                    (24.09.2021)                                    
720,Other service activities,96099 (EMTAK 2008),96.09,Annual report                                    (10.06.2021)                                    
722,Computer programming activities,62011 (EMTAK 2008),62.01,Electronic submission                                    (15.02.2022)                                    
723,"Other financial service activities, except insurance and pension funding n.e.c.",6499 (EMTAK 2008),64.99,Annual report                                    (30.06.2022)                                    
724,Construction of residential and non-residential buildings,41201 (EMTAK 2008),41.20,Annual report                                    (24.08.2022)                                    
725,Buying and selling of own real estate,68101 (EMTAK 2008),68.10,Electronic submission                                    (26.02.2015)                                    
726,Non-specialised wholesale trade,46901 (EMTAK 2008),46.90,Annual report                                    (27.12.2019)                                    
727,Car washing and other services,45202 (EMTAK 2008),45.20,Annual report                                    (23.05.2022)                                    
728,"Other retail sale not in stores, stalls or markets",47991 (EMTAK 2008),47.99,Electronic submission                                    (02.10.2020)                                    
731,Performing arts,9001 (EMTAK 2008),90.01,Annual report                                    (29.12.2021)                                    
732,Buying and selling of own real estate,68101 (EMTAK 2008),68.10,Electronic submission                                    (29.11.2021)                                    
733,Other amusement and recreation activities not classified elsewhere,93299 (EMTAK 2008),93.29,Annual report                                    (17.06.2022)                                    
735,"Other retail sale not in stores, stalls or markets",47991 (EMTAK 2008),47.99,Annual report                                    (30.06.2022)                                    
736,Buying and selling of own real estate,68101 (EMTAK 2008),68.10,Electronic submission                                    (05.05.2021)                                    
737,Activities of other business and employers organisations,94119 (EMTAK 2008),94.11,Annual report                                    (29.06.2022)                                    
738,Buying and selling of own real estate,68101 (EMTAK 2008),68.10,Annual report                                    (19.06.2021)                                    
742,"Other professional, scientific and technical activities n.e.c.",74901 (EMTAK 2008),74.90,Annual report                                    (13.11.2019)                                    
743,Computer programming activities,62011 (EMTAK 2008),62.01,Annual report                                    (30.06.2022)                                    
744,Hotels,55101 (EMTAK 2008),55.10,Electronic submission                                    (19.08.2016)                                    
746,Hairdressing and other beauty treatment,96021 (EMTAK 2008),96.02,Electronic submission                                    (04.02.2009)                                    
747,Other business support service activities n.e.c.,82991 (EMTAK 2008),82.99,Annual report                                    (29.09.2022)                                    
748,Removal services,4942 (EMTAK 2008),49.42,Annual report                                    (05.04.2022)                                    
749,Computer programming activities,62011 (EMTAK 2008),62.01,Annual report                                    (06.07.2019)                                    
751,Computer programming activities,62011 (EMTAK 2008),62.01,Electronic submission                                    (25.09.2012)                                    
753,Web portals,63121 (EMTAK 2008),63.12,Electronic submission                                    (15.02.2018)                                    
756,Forwarding agencies services,52291 (EMTAK 2008),52.29,Annual report                                    (03.07.2022)                                    
757,Support activities to performing arts,90021 (EMTAK 2008),90.02,Annual report                                    (17.08.2021)                                    
758,Hairdressing and other beauty treatment,96021 (EMTAK 2008),96.02,Annual report                                    (29.11.2022)                                    
759,"Renting and operational leasing of other machinery, equipment and tangible assets not classified elsewhere",77399 (EMTAK 2008),77.39,Electronic submission                                    (29.07.2021)                                    
760,"Other retail sale not in stores, stalls or markets",47991 (EMTAK 2008),47.99,Electronic submission                                    (05.02.2020)                                    
761,Retail sale via mail order houses or via Internet,47911 (EMTAK 2008),47.91,Electronic submission                                    (16.05.2022)                                    
763,Activities of sports clubs,93121 (EMTAK 2008),93.12,Annual report                                    (28.06.2022)                                    
765,Combined facilities support activities,81101 (EMTAK 2008),81.10,Annual report                                    (21.06.2022)                                    
766,Other software publishing,58291 (EMTAK 2008),58.29,Electronic submission                                    (25.09.2020)                                    
767,"Other retail sale not in stores, stalls or markets",4799 (EMTAK 2008),47.99,Annual report                                    (30.06.2022)                                    
768,Hotels,55101 (EMTAK 2008),55.10,Annual report                                    (12.04.2018)                                    
770,Other manufacturing n.e.c.,32991 (EMTAK 2008),32.99,Electronic submission                                    (28.01.2022)                                    
771,Non-specialised wholesale trade,46901 (EMTAK 2008),46.90,Annual report                                    (12.10.2021)                                    
772,Other information technology and computer service activities,62091 (EMTAK 2008),62.09,Electronic submission                                    (11.10.2021)                                    
773,Hairdressing and other beauty treatment,96021 (EMTAK 2008),96.02,Annual report                                    (04.03.2022)                                    
774,"Other financial service activities, except insurance and pension funding n.e.c.",64991 (EMTAK 2008),64.99,Electronic submission                                    (11.11.2019)                                    
779,Rental and operating of own or leased real estate,68201 (EMTAK 2008),68.20,Annual report                                    (19.05.2022)                                    
780,Buying and selling of own real estate,68101 (EMTAK 2008),68.10,Electronic submission                                    (11.01.2022)                                    
782,Other amusement and recreation activities not classified elsewhere,93299 (EMTAK 2008),93.29,Annual report                                    (04.07.2022)                                    
783,Specialised design activities,74101 (EMTAK 2008),74.10,Electronic submission                                    (06.09.2021)                                    
784,Computer programming activities,62011 (EMTAK 2008),62.01,Electronic submission                                    (22.12.2021)                                    
786,Construction of residential and non-residential buildings,41201 (EMTAK 2008),41.20,Annual report                                    (21.05.2022)                                    
787,Other specialised construction activities,43999 (EMTAK 2008),43.99,Annual report                                    (18.06.2022)                                    
788,Other research and experimental development on natural sciences and engineering,72191 (EMTAK 2008),72.19,Annual report                                    (27.12.2021)                                    
790,Travel agency activities,79111 (EMTAK 2008),79.11,Electronic submission                                    (28.01.2019)                                    
791,Other business support service activities n.e.c.,82991 (EMTAK 2008),82.99,Electronic submission                                    (24.09.2021)                                    
793,Youth and children associations and associations that promote the welfare of youth and children,94993 (EMTAK 2008),94.99,Electronic submission                                    (01.01.2022)                                    
