company_name_left,industry_left,headquarters_city_left,company_name_right,industry_right,headquarters_city_right,label
beauty & aesthetic temple ltd,96020 - hairdressing and other beauty treatment,,beauty & aesthetics by carla ltd,96020 - hairdressing and other beauty treatment,,0
beauty and beyond (bridport) limited,96020 - hairdressing and other beauty treatment,,beauty and blush ltd,96020 - hairdressing and other beauty treatment,,0
beauty and grooming rooms ltd,96020 - hairdressing and other beauty treatment,,beauty and hair ltd,96020 - hairdressing and other beauty treatment,,0
beauty & nail (uk) ltd,96020 - hairdressing and other beauty treatment,,beauty & nature ltd,96020 - hairdressing and other beauty treatment,,0
beauty and the teacup ltd,99999 - dormant company,,beauty and the yeast ltd,99999 - dormant company,,0
beauty & well-being limited,96020 - hairdressing and other beauty treatment,,beauty & wholeness bar ltd,96020 - hairdressing and other beauty treatment,,0
beauty angels spa ltd,96020 - hairdressing and other beauty treatment,,beauty angels uk limited,96020 - hairdressing and other beauty treatment,,0
beauty at hearts boutique ltd,96020 - hairdressing and other beauty treatment,,beauty at home ltd,96020 - hairdressing and other beauty treatment,,0
beauty at heart ltd,96020 - hairdressing and other beauty treatment,,beauty at highfield ltd,96020 - hairdressing and other beauty treatment,,0
beauty at megan's ltd,96020 - hairdressing and other beauty treatment,,beauty at mine ltd,96020 - hairdressing and other beauty treatment,,0
beauty at the barn ltd,96020 - hairdressing and other beauty treatment,,beauty at the chop limited,96020 - hairdressing and other beauty treatment,,0
beauty at the avenue limited,96020 - hairdressing and other beauty treatment,,beauty at the bay ltd,96020 - hairdressing and other beauty treatment,,0
beauty at tiffany’s ltd,96020 - hairdressing and other beauty treatment,,beauty atelier by paula tanda ltd,96020 - hairdressing and other beauty treatment,,0
beauty at the uber ltd,96020 - hairdressing and other beauty treatment,,beauty at tiffany’s ltd,96020 - hairdressing and other beauty treatment,,0
beauty at the gate limited,96020 - hairdressing and other beauty treatment,,beauty at the vinery limited,96020 - hairdressing and other beauty treatment,,0
beauty at work ltd,96020 - hairdressing and other beauty treatment,,beauty atelier ltd,96020 - hairdressing and other beauty treatment,,0
beauty bae academy limited,96020 - hairdressing and other beauty treatment,,beauty bando limited,96020 - hairdressing and other beauty treatment,,0
beauty bar (kettering) ltd,96020 - hairdressing and other beauty treatment,,beauty bar desborough ltd,96020 - hairdressing and other beauty treatment,,0
beauty bar (hinckley) ltd,96020 - hairdressing and other beauty treatment,,beauty bar at the mill ltd,96020 - hairdressing and other beauty treatment,,0
beauty base by sharnelle limited,96020 - hairdressing and other beauty treatment,,beauty base nw ltd,96020 - hairdressing and other beauty treatment,,0
beauty beauty hair ltd,96020 - hairdressing and other beauty treatment,,beauty bee ltd,96020 - hairdressing and other beauty treatment,,0
beauty bee studio ltd,96020 - hairdressing and other beauty treatment,,beauty beee limited,96020 - hairdressing and other beauty treatment,,0
beauty biology ltd,96020 - hairdressing and other beauty treatment,,beauty bisou ltd,96020 - hairdressing and other beauty treatment,,0
beauty bi amy ltd,96020 - hairdressing and other beauty treatment,,beauty biology ltd,96020 - hairdressing and other beauty treatment,,0
beauty blender wash pro limited,47540 - retail sale of electrical household appliances in specialised stores,,beauty blends skin care ltd,47750 - retail sale of cosmetic and toilet articles in specialised stores,,0
beauty @ blagdon limited,96020 - hairdressing and other beauty treatment,,beauty above limited,96020 - hairdressing and other beauty treatment,,0
beauty blocks ltd,47910 - retail sale via mail order houses or via internet,,beauty bloom ltd,47190 - other retail sale in non-specialised stores,,0
beauty blossom ltd,47750 - retail sale of cosmetic and toilet articles in specialised stores,,beauty blush limited,"47990 - other retail sale not in stores, stalls or markets",,0
beauty bomb kilmarnock limited,96020 - hairdressing and other beauty treatment,,beauty bombshell limited,96020 - hairdressing and other beauty treatment,,0
beauty boss london ltd,96020 - hairdressing and other beauty treatment,,beauty botanic limited,96020 - hairdressing and other beauty treatment,,0
beauty bound (nottingham) limited,96020 - hairdressing and other beauty treatment,,beauty bounty limited,96020 - hairdressing and other beauty treatment,,0
beauty boutique kensington ltd,96020 - hairdressing and other beauty treatment,,beauty boutique of pateley bridge ltd,96020 - hairdressing and other beauty treatment,,0
beauty boutique (wigston) limited,96020 - hairdressing and other beauty treatment,,beauty boutique fair oak limited,96020 - hairdressing and other beauty treatment,,0
beauty box aesthetics (cardiff) ltd,96020 - hairdressing and other beauty treatment,,beauty box barnt green ltd,96020 - hairdressing and other beauty treatment,,0
beauty box brooklands ltd,96020 - hairdressing and other beauty treatment,,beauty box limited,96020 - hairdressing and other beauty treatment,,0
new african projects and business ltd,99999 - dormant company,,new african woman magazine ltd,99999 - dormant company,,0
new age era limited,47910 - retail sale via mail order houses or via internet,,new age fashion ltd,47770 - retail sale of watches and jewellery in specialised stores,,0
new age plumbing & heating solutions ltd,"43220 - plumbing, heat and air-conditioning installation",,new age plumbing and heating services ltd,"43220 - plumbing, heat and air-conditioning installation",,0
new age welding & fabrication limited,96090 - other service activities not elsewhere classified,,new agenda (construction) limited,82990 - other business support service activities not elsewhere classified,,0
new alisha (walsall) supermarket ltd,"47110 - retail sale in non-specialised stores with food, beverages or tobacco predominating",,new alisha polski sklep limited,"47110 - retail sale in non-specialised stores with food, beverages or tobacco predominating",,0
good & trusted legal services ltd,69109 - activities of patent and copyright agents; other legal activities not elsewhere classified,,good & trusted wills ltd,69109 - activities of patent and copyright agents; other legal activities not elsewhere classified,,0
good barber club limited,96020 - hairdressing and other beauty treatment,,good barbers ltd,96020 - hairdressing and other beauty treatment,,0
good better best training ltd.,70229 - management consultancy activities other than financial management,,good beyond ltd,70229 - management consultancy activities other than financial management,,0
good burger 1 ltd,56103 - take-away food shops and mobile food stands,,good burger ltd,56103 - take-away food shops and mobile food stands,,0
good burger (mak) limited,56102 - unlicensed restaurants and cafes,,good burger limited,56102 - unlicensed restaurants and cafes,,0
good care 24 ltd,86102 - medical nursing home activities,,good care derby limited,86900 - other human health activities,,0
good catch entertainment limited,"59120 - motion picture, video and television programme post-production activities",,good catch limited,59113 - television programme production activities,,0
good causes trading limited,96090 - other service activities not elsewhere classified,,good chance ltd,96090 - other service activities not elsewhere classified,,0
good choi limited,56103 - take-away food shops and mobile food stands,,good choice asia food ltd,56103 - take-away food shops and mobile food stands,,0
good citizen studio limited,47710 - retail sale of clothing in specialised stores,,good city circle ltd,47910 - retail sale via mail order houses or via internet,,0
good coffee london limited,56102 - unlicensed restaurants and cafes,,good coffee n7 ltd,56101 - licensed restaurants,,0
good company escorts ltd,99999 - dormant company,,good company limited,99999 - dormant company,,0
good company events ltd,96090 - other service activities not elsewhere classified,,good company management ltd,96090 - other service activities not elsewhere classified,,0
bad apple hair salons uk limited,96020 - hairdressing and other beauty treatment,,bad apple hair stafford limited,96020 - hairdressing and other beauty treatment,,0
bad bees ltd,96020 - hairdressing and other beauty treatment,,bad beez studio ltd,96020 - hairdressing and other beauty treatment,,0
bad boy vaping ltd,47260 - retail sale of tobacco products in specialised stores,,bad boys corner uk ltd,47910 - retail sale via mail order houses or via internet,,0
bad boy tuning ltd,45320 - retail trade of motor vehicle parts and accessories,,bad boy vaping ltd,47260 - retail sale of tobacco products in specialised stores,,0
bad dads uk limited,47910 - retail sale via mail order houses or via internet,,bad denim limited,47710 - retail sale of clothing in specialised stores,,0
bad egg ltd,56101 - licensed restaurants,,bad empire limited,56101 - licensed restaurants,,0
bad manors limited,90010 - performing arts,,bad medic records limited,90030 - artistic creation,,0
bad wolf films ltd,59111 - motion picture production activities,,bad wolf ltd,59113 - television programme production activities,,0
bad wolf (ihs2) ltd,59113 - television programme production activities,,bad wolf corporation ltd.,59111 - motion picture production activities,,0
bad wolf (hdm3) limited,59113 - television programme production activities,,bad wolf (ihs2) ltd,59113 - television programme production activities,,0
z & n healthcare limited,86900 - other human health activities,,z & n kara limited,86230 - dental practice activities,,0
z & s (poets) ltd,56302 - public houses and bars,,z & s associates limited,56102 - unlicensed restaurants and cafes,,0
z & s property company ltd,68209 - other letting and operating of own or leased real estate,,z & s real estates ltd,68100 - buying and selling of own real estate,,0
z & s stores ltd,"47990 - other retail sale not in stores, stalls or markets",,z & son limited,47510 - retail sale of textiles in specialised stores,,0
z a scot ltd,47910 - retail sale via mail order houses or via internet,,z a signature ltd,47190 - other retail sale in non-specialised stores,,0
z barber club ltd,96020 - hairdressing and other beauty treatment,,z barber shop ltd,96020 - hairdressing and other beauty treatment,,0
z cars (wrexham) ltd,49320 - taxi operation,,z cars bristol limited,49320 - taxi operation,,0
z consultancy limited,62020 - information technology consultancy activities,,z consulting ltd,62020 - information technology consultancy activities,,0
z design limited,74100 - specialised design activities,,z designs studio ltd,74100 - specialised design activities,,0
v a heating holdings limited,64209 - activities of other holding companies not elsewhere classified,,v a hoppitt limited,63990 - other information service activities not elsewhere classified,,0
v a heating holdings limited,64209 - activities of other holding companies not elsewhere classified,,v a hoppitt limited,63990 - other information service activities not elsewhere classified,,0
v and a artist management ltd,70229 - management consultancy activities other than financial management,,v and a consulting services ltd,70229 - management consultancy activities other than financial management,,0
v & a guardians ltd.,85590 - other education not elsewhere classified,,v & a hydraulics limited,82990 - other business support service activities not elsewhere classified,,0
v and a homes limited,68209 - other letting and operating of own or leased real estate,,v and b property services ltd,68100 - buying and selling of own real estate,,0
v. & a. products limited,13990 - manufacture of other textiles not elsewhere classified,,v. & f. parker limited,32120 - manufacture of jewellery and related articles,,0
v & c (sw) commercials limited,41202 - construction of domestic buildings,,v & c (sw) properties limited,41202 - construction of domestic buildings,,0
v & j developments ltd.,68100 - buying and selling of own real estate,,v & j holdings limited,68100 - buying and selling of own real estate,,0
v & j developments ltd.,68100 - buying and selling of own real estate,,v & j holdings limited,68100 - buying and selling of own real estate,,0
v and l estates limited,68100 - buying and selling of own real estate,,v and m patel limited,68100 - buying and selling of own real estate,,0
v & m arrol limited,43999 - other specialised construction activities not elsewhere classified,,v & m associates ltd,82990 - other business support service activities not elsewhere classified,,0
v & m arrol limited,43999 - other specialised construction activities not elsewhere classified,,v & m associates ltd,82990 - other business support service activities not elsewhere classified,,0
v & m properties investment ltd,68100 - buying and selling of own real estate,,v & m property management ltd,68100 - buying and selling of own real estate,,0
v & m (teddington) ltd,47190 - other retail sale in non-specialised stores,,v & m (victoria) ltd,47190 - other retail sale in non-specialised stores,,0
v & m (staines) ltd,47190 - other retail sale in non-specialised stores,,v & m (tolworth) ltd,47190 - other retail sale in non-specialised stores,,0
v & m (tolworth) ltd,47190 - other retail sale in non-specialised stores,,v & m arrol limited,43999 - other specialised construction activities not elsewhere classified,,0
v & m (tolworth) ltd,47190 - other retail sale in non-specialised stores,,v & m arrol limited,43999 - other specialised construction activities not elsewhere classified,,0
v & n couriers limited,49410 - freight transport by road,,v & n haulage ltd,49410 - freight transport by road,,0
v & q properties ltd,68209 - other letting and operating of own or leased real estate,,v & r africa ltd,64209 - activities of other holding companies not elsewhere classified,,0
v & q properties ltd,68209 - other letting and operating of own or leased real estate,,v & r africa ltd,64209 - activities of other holding companies not elsewhere classified,,0
v. & r.k. investments limited,68100 - buying and selling of own real estate,,v. & s. management limited,68209 - other letting and operating of own or leased real estate,,0
v & r investments ltd,68100 - buying and selling of own real estate,,v & r properties ltd,68209 - other letting and operating of own or leased real estate,,0
v & r investments ltd,68100 - buying and selling of own real estate,,v & r properties ltd,68209 - other letting and operating of own or leased real estate,,0
v & s builders ltd,41202 - construction of domestic buildings,,v & s cleaning limited,41202 - construction of domestic buildings,,0
v & s builders ltd,41202 - construction of domestic buildings,,v & s cleaning limited,41202 - construction of domestic buildings,,0
u and i (8ae) limited,41100 - development of building projects,,u and i (bromley commercial) limited,41100 - development of building projects,,0
u b r management company limited,98000 - residents property management,,u beautie limited,96020 - hairdressing and other beauty treatment,,0
u design treorchy limited,47710 - retail sale of clothing in specialised stores,,u designs ltd,47710 - retail sale of clothing in specialised stores,,0
t accounting advisors ltd,69201 - accounting and auditing activities,,t accounts limited,69201 - accounting and auditing activities,,0
t a electric company ltd,43210 - electrical installation,,t a electrical solutions limited,43210 - electrical installation,,0
t a electrical contractors ltd,43210 - electrical installation,,t a electronics ltd,43210 - electrical installation,,0
t a joinery & construction ltd,43320 - joinery installation,,t a jones contracting ltd,43120 - site preparation,,0
t and a ductwork ltd,43290 - other construction installation,,t and a fletcher ltd,"43220 - plumbing, heat and air-conditioning installation",,0
t. & a. installations ltd.,43290 - other construction installation,,t. & a. resin ltd.,43290 - other construction installation,,0
t & a muir limited,"43220 - plumbing, heat and air-conditioning installation",,t & a pipework limited,"43220 - plumbing, heat and air-conditioning installation",,0
t & a properties (brighton) ltd,68209 - other letting and operating of own or leased real estate,,t & a properties london ltd,68209 - other letting and operating of own or leased real estate,,0
t & a properties limited,68209 - other letting and operating of own or leased real estate,,t & a property developer ltd,68100 - buying and selling of own real estate,,0
t & a properties london ltd,68209 - other letting and operating of own or leased real estate,,t & a property holdings ltd,68100 - buying and selling of own real estate,,0
t & a property developer ltd,68100 - buying and selling of own real estate,,t & a property services limited,68209 - other letting and operating of own or leased real estate,,0
t & a property developer ltd,68100 - buying and selling of own real estate,,t & a property services limited,68209 - other letting and operating of own or leased real estate,,0
t & a taxis (three) ltd.,74990 - non-trading company,,t & a taxis limited,99999 - dormant company,,0
t & a taxis (three) ltd.,74990 - non-trading company,,t & a taxis limited,99999 - dormant company,,0
t & a trade limited,47910 - retail sale via mail order houses or via internet,,t & a traders limited,47910 - retail sale via mail order houses or via internet,,0
t & a thompson cards limited,46900 - non-specialised wholesale trade,,t & a tradeline ltd,46900 - non-specialised wholesale trade,,0
t & b builders limited,43390 - other building completion and finishing,,t & b building services ltd,43390 - other building completion and finishing,,0
"s, a & s investments limited",98000 - residents property management,,"s, a & s properties limited",98000 - residents property management,,0
s a b enterprises limited,42990 - construction of other civil engineering projects not elsewhere classified,,s a b kitchens ltd,43999 - other specialised construction activities not elsewhere classified,,0
s a electrical (manchester) limited,43210 - electrical installation,,s a electrical northampton limited,43210 - electrical installation,,0
s a  hindocha limited,69201 - accounting and auditing activities,,s a & co (accountants) limited,69201 - accounting and auditing activities,,0
r adams holdings limited,64209 - activities of other holding companies not elsewhere classified,,r adams property ltd,68209 - other letting and operating of own or leased real estate,,0
r a lamb consultants ltd,43999 - other specialised construction activities not elsewhere classified,,r a lands limited,64209 - activities of other holding companies not elsewhere classified,,0
q anne midco 1 limited,64209 - activities of other holding companies not elsewhere classified,,q anne topco limited,64209 - activities of other holding companies not elsewhere classified,,0
q b management solutions ltd,68320 - management of real estate on a fee or contract basis,,q ball lease company limited,68209 - other letting and operating of own or leased real estate,,0
q cafe lounge ltd,56102 - unlicensed restaurants and cafes,,q café trading limited,56102 - unlicensed restaurants and cafes,,0
q dental care limited,86230 - dental practice activities,,q dental surgeries limited,86230 - dental practice activities,,0
q electrical services ltd,43210 - electrical installation,,q electrikal ltd,43210 - electrical installation,,0
q electrical ltd,43210 - electrical installation,,q electricals services ltd,43210 - electrical installation,,0
q care & special care limited,86900 - other human health activities,,q care assist ltd,86900 - other human health activities,,0
p a electrical (herts) ltd,43210 - electrical installation,,p a electrical and controls ltd,43210 - electrical installation,,0
p a electrical (grimsby) limited,43210 - electrical installation,,p a electrical (midlands) limited,43210 - electrical installation,,0
p a lambert limited,43210 - electrical installation,,p a leverton ltd,43290 - other construction installation,,0
p & a contractors limited,82990 - other business support service activities not elsewhere classified,,p & a contracts ltd,42990 - construction of other civil engineering projects not elsewhere classified,,0
p & a sharville limited,82990 - other business support service activities not elsewhere classified,,p & ag consulting limited,82990 - other business support service activities not elsewhere classified,,0
icbc,"['financial services', 'banking services', 'investment banking']",beijing,icbc careers,financial services,vancouver,0
the goldman sachs group,"['financial services', 'banking services', 'asset management', 'investments', 'brokerage services', 'securities', 'stock markets, trading, capital markets']",new york,"the goldman sachs group, inc.",,new york,0
s&p global,"['financial services', 'investments', 'trading', 'stock markets, trading, capital markets']",new york,s&p global inc.,,new york,0
anheuser-busch inbev,"['consumer defensive', 'beverages', 'non-alcoholic beverages', 'fmcg', 'consumer non durables', 'alcoholic beverages']",leuven,anheuser-busch inbev sa/nv,,leuven,0
anthem,"['healthcare', 'insurance', 'financial services', 'healthcare products']",indiana,anthem careers,financial services,indianapolis,0
kering,"['consumer cyclical', 'luxury goods', 'leather products', 'clothing', 'eyewear', 'watches', 'shoes', 'footwear', 'ecommerce', 'retail', 'convenience stores', 'fmcg', 'consumer goods', 'fashion and luxury goods']",paris,kering sa,,paris,0
british american tobacco,"['consumer defensive', 'tobacco products', 'cigarettes', 'fmcg', 'agriculture products', 'consumer non durables', 'tobacco and cigarette']",london,british american tobacco plc,,london,0
cargill,"['agriculture products', 'agriculture related', 'food products', 'meat / poultry / fish / chicken', 'trading']",minnesota,cargill eurit srl,"finance, insurance, and real estate",milano,0
bank of nova scotia,"['financial services', 'banking services']",toronto,bank of qingdao co ltd,financial services,,0
blackstone group,"['financial services', 'investments', 'asset management']",new york,blackstone inc,financial services,,0
enbridge,"['energy', 'oil and gas', 'natural gas generation', 'gas utilities', 'utilities', 'renewable energy', 'electricity generation', 'solar power', 'wind power', 'hydro-electric power', 'power generation']",calgary,enbridge inc.,,calgary,0
marsh & mclennan companies,"['financial services', 'healthcare service', 'insurance', 'investments']",new york,"marsh & mclennan companies, inc.",,new york,0
mitsubishi ufj financial group,"['financial services', 'banking services', 'asset management', 'wealth management', 'credit cards', 'investments', 'mortgage']",tokyo,"mitsubishi ufj financial group, inc.",,tokyo,0
china yangtze power,"['utilities', 'electricity generation', 'electric utilities', 'energy']",beijing,china yangtze power co. ltd,,beijing,0
canadian pacific railway,"['industries', 'railway', 'railway operating company', 'rail transport', 'transportation']",calgary,canadian pacific railway limited,,calgary,0
glencore,"['basic materials', 'metals', 'mining', 'trading', 'commodities trading']",baar,glencore plc,,baar,0
shin-etsu chemical,"['basic materials', 'chemicals']",tokyo,"shin-etsu polymer co.,ltd.",,tokyo,0
national australia bank,"['financial services', 'banking services']",melbourne,national australia bank ltd,financial services,,0
pt bank central asia tbk,"['financial services', 'banking services', 'credit cards']",,pt bank cimb niaga tbk,financial services,,0
daikin industries,"['industries', 'electronics', 'electrical products', 'air conditioners', 'refrigerators', 'home appliances', 'building products and equipment']",osaka,"daikin industries,ltd.",,osaka,0
aon,"['financial services', 'insurance', 'investments']",illinois,aon plc,financial services,,0
shenzhen mindray bio-medical electronics,"['healthcare', 'electronics', 'medical equipment', 'healthcare products']",shenzhen,shenzhen mindray bio-medical electronics co. ltd,,shenzhen,0
bajaj finance,"['financial services', 'insurance', 'asset management', 'wealth management']",pune,bajaj finserv,['financial services'],,0
metlife,"['financial services', 'insurance', 'asset management']",new york,metlife inc,financial services,,0
ing group,"['financial services', 'banking services']",amsterdam,ing group nv,financial services,,0
london stock exchange group,"['financial services', 'stock markets, trading, capital markets', 'trading']",london,london stock exchange group plc,,london,0
fast retailing,"['consumer cyclical', 'retail', 'clothing']",yamaguchi,fast retailing co. ltd,,yamaguchi,0
safran,"['industries', 'aerospace products', 'defense products', 'rockets', 'satellites', 'drones', 'engineering products', 'technology', 'machinery manufacturing', 'aerospace and defense', 'manufacturing', 'space products']",paris,safran sa,,paris,0
simon property group,"['real estate', 'property investments', 'commercial properties', 'consumer services', 'investments', 'retail']",indiana,"simon property group, inc.",,indianapolis,0
chugai pharmaceutical,"['healthcare', 'pharmaceutical', 'healthcare products']",tokyo,chugai pharmaceutical co. ltd,,tokyo,0
honda motor,"['consumer cyclical', 'automobile', 'bikes', 'cars', 'capital goods', 'passenger vehicles']",tokyo,"honda motor co., ltd.",,tokyo,0
bank of communications,"['financial services', 'banking services']",shanghai,bank of communications co. ltd,,shanghai,0
american international group (aig),"['financial services', 'banking services', 'credit cards', 'technology', 'insurance']",new york,"american international group, inc.",,new york,0
sumitomo mitsui financial group,"['financial services', 'banking services']",tokyo,"sumitomo mitsui financial group, inc.",,tokyo,0
hcl technologies,"['technology', 'software and it', 'software products', 'software outsourcing services', 'software consulting services', 'consulting services', 'outsourcing and staffing']",noida,hcl technologies careers,information technology & services,noida,0
lululemon athletica,"['consumer cyclical', 'apparels and accessories', 'sports goods', 'readymade clothing', 'clothing', 'consumer non durables', 'textile', 'retail']",vancouver,lululemon athletica inc.,,vancouver,0
stmicroelectronics,"['technology', 'electronics', 'sensors', 'semiconductors']",geneva,stmicroelectronics n.v.,,geneva,0
msci,"['financial services', 'business services', 'stock markets, trading, capital markets']",new york,msci inc.,,new york,0
aptiv,"['consumer cyclical', 'automobile parts', 'automobile', 'capital goods', 'technology']",dublin,aptiv plc,,dublin,0
datadog,"['technology', 'software and it', 'cloud services']",new york,"datadog, inc.",,new york,0
dow inc,"['basic materials', 'chemicals', 'paints and coatings', 'plastics / plastic products']",michigan,dow italia divisione commerciale srl,manufacturing,milano,0
pt bank rakyat indonesia (persero) tbk,"['financial services', 'banking services']",,pt bank rakyat indonesia persero tbk,financial services,,0
alimentation couche-tard,"['consumer defensive', 'retail', 'convenience stores']",laval,alimentation couche-tard inc.,,laval,0
aflac,"['financial services', 'insurance']",georgia,aflac inc,financial services,,0
general mills,"['consumer defensive', 'food products', 'fmcg', 'dairy products', 'consumer non durables', 'package foods']",minnesota,"general mills, inc.",,minneapolis,0
apollo global management,"['financial services', 'asset management', 'investments']",new york,"apollo global management, inc.",,new york,0
bank of ningbo,"['financial services', 'banking services']",,bank of nova scotia,"['financial services', 'banking services']",toronto,0
the travelers companies,"['financial services', 'insurance']",new york,"the travelers companies, inc.",,new york,0
tokio marine holdings,"['financial services', 'insurance']",tokyo,"tokio marine holdings, inc.",,tokyo,0
alcon,"['healthcare', 'medical equipment', 'healthcare products']",geneva,alcon inc.,,geneva,0
shanghai pudong development bank,"['financial services', 'banking services']",shanghai,shanghai pudong development bank co. ltd,,shanghai,0
mitsui & co.,"['conglomerate', 'energy', 'metals', 'food products', 'iron and steel', 'chemicals', 'infrastructure', 'software and it', 'imports / exports services', 'trading', 'oil and gas']",tokyo,mitsui & co. ltd,,tokyo,0
seven & i holdings,"['consumer defensive', 'retail', 'super markets', 'convenience stores']",tokyo,seven & i holdings co. ltd,,tokyo,0
china vanke,"['real estate', 'construction']",shenzhen,china vanke co. ltd,,shenzhen,0
nutrien,"['basic materials', 'chemicals', 'fertilizers', 'agriculture related']",saskatoon,nutrien ltd.,,saskatoon,0
suncor energy,"['energy', 'oil and gas', 'oil refining', 'electricity generation', 'power generation', 'retail', 'petrochemicals', 'lubricants', 'oil refining', 'energy', 'chemicals']",calgary,suncor energy inc.,,calgary,0
xcel energy,"['utilities', 'electric utilities', 'gas utilities', 'power generation', 'electricity generation', 'energy']",minnesota,xcel energy inc.,,minneapolis,0
hang seng bank,"['financial services', 'banking services']",,hang seng bank ltd,financial services,,0
international flavors & fragrances,"['basic materials', 'chemicals', 'fmcg', 'personal care products', 'cosmetics', 'flavors and fragrances']",new york,international flavors & fragrances inc.,,new york,0
japan post bank,"['financial services', 'banking services']",tokyo,"japan post bank co.,ltd.",,tokyo,0
ameriprise financial,"['financial services', 'insurance', 'investments', 'asset management']",minnesota,"ameriprise financial, inc.",,minneapolis,0
japan tobacco,"['consumer defensive', 'cigarettes', 'tobacco products', 'fmcg', 'tobacco and cigarette', 'pharmaceutical', 'food products']",tokyo,"japan tobacco, inc.",,tokyo,0
constellation software,"['technology', 'software and it', 'software products']",toronto,constellation software inc.,,toronto,0
mizuho financial group,"['financial services', 'banking services']",tokyo,"mizuho financial group, inc.",,tokyo,0
waste connections,"['industries', 'waste and trash management', 'environmental services', 'utilities']",ontario,waste management,"['industries', 'waste and trash management', 'environmental services', 'utilities']",texas,0
sun life financial,"['financial services', 'insurance', 'asset management', 'investments']",toronto,sun life financial inc,financial services,,0
japan post holdings,"['financial services', 'banking services']",tokyo,japan post holdings co. ltd,,tokyo,0
consolidated edison,"['utilities', 'electric utilities', 'gas utilities', 'energy', 'power generation', 'electricity generation', 'power generation']",new york,"consolidated edison, inc.",,new york,0
deutsche borse,"['financial services', 'stock markets, trading, capital markets', 'trading', 'securities']",,deutsche börse,"['stock exchanges', 'financial services', 'dax', 'stock/crypto exchanges']",,0
swiss re,"['financial services', 'insurance']",,swiss re ltd,financial services,,0
astellas pharma,"['healthcare', 'pharmaceutical', 'healthcare products']",tokyo,"astellas pharma, inc.",,tokyo,0
orange s.a,"['communication services', 'telecom', 'mobile services', 'fixed line service', 'television services', 'internet providers', 'utilities', 'broadcasting', 'telecom equipment']",paris,orange sa,,paris,0
great-west lifeco,"['financial services', 'insurance', 'asset management', 'investments']",winnipeg,great-west lifeco inc.,,winnipeg,0
ntt data corporation,"['technology', 'software and it', 'software consulting services', 'software products']",tokyo,ntt docomo,"['communication services', 'telecom', 'mobile services']",tokyo,0
cenovus energy,"['energy', 'oil and gas']",calgary,cenovus energy inc.,,calgary,0
national bank of canada,"['financial services', 'banking services']",montreal,national bank of greece sa,financial services,,0
magna international,"['consumer cyclical', 'automobile', 'automobile parts', 'capital goods']",aurora,magna international inc.,,aurora,0
nippon paint holdings,"['basic materials', 'paints and coatings', 'chemicals']",osaka,nippon paint holdings co. ltd,,osaka,0
china minsheng banking,"['financial services', 'banking services']",beijing,china mobile,"['communication services', 'telecom', 'internet providers', 'mobile services', 'fixed line service', 'television services', 'utilities', 'telecom equipment']",beijing,0
rogers communications,"['communication services', 'telecom', 'media', 'mobile services', 'fixed line service', 'internet providers', 'television services', 'broadcasting', 'consumer services', 'media', 'advertising']",toronto,rogers communications inc.,,toronto,0
sirius xm holdings,"['communication services', 'radio broadcasting', 'broadcasting', 'media', 'advertising', 'consumer services']",new york,sirius xm holdings inc.,,new york,0
shimano,"['consumer cyclical', 'bicycle', 'boats', 'leisure']",osaka,"shimano, inc.",,sakai,0
dai-ichi life holdings,"['financial services', 'insurance']",tokyo,"dai-ichi life holdings, inc.",,tokyo,0
steris,"['healthcare', 'pharmaceutical', 'medical equipment', 'healthcare products']",dublin,steris plc,,dublin,0
endesa,"['utilities', 'electric utilities', 'energy', 'power generation', 'electricity generation']",madrid,"endesa, sa",,madrid,0
china railway group,"['industries', 'railway operating company', 'infrastructure', 'construction', 'real estate', 'engineering services', 'railway', 'transportation', 'construction']",beijing,china railway hi-tech industry corp ltd,,beijing,0
cnh industrial,"['industries', 'automobile', 'construction equipment', 'agriculture machinery', 'bus manufacturing', 'capital goods', 'commercial vehicles', 'machinery manufacturing', 'manufacturing', 'trucks', 'heavy machinery']",london,cnh industrial n.v.,,london,0
cgn power,"['utilities', 'power generation', 'nuclear power', 'electricity generation', 'power generation', 'power generation']",shenzhen,cgn power co. ltd,,shenzhen,0
paycom software,"['technology', 'software and it', 'software products']",oklahoma,"paycom software, inc.",,oklahoma city,0
tradeweb markets,"['financial services', 'stock markets, trading, capital markets', 'trading']",new york,tradeweb markets inc.,,new york,0
yum china holdings,"['consumer cyclical', 'restaurants', 'food service', 'retail', 'consumer services', 'entertainment']",shanghai,"yum china holdings, inc.",,shanghai,0
akzo nobel,"['basic materials', 'paints and coatings', 'chemicals']",amsterdam,akzo nobel n.v.,,amsterdam,0
exor,"['financial services', 'sports vehicles', 'automobile', 'investments']",,exor nv,financial services,,0
otsuka holdings,"['healthcare', 'pharmaceutical', 'healthcare products', 'non-alcoholic beverages', 'beverages', 'fmcg']",tokyo,otsuka holdings co. ltd,,tokyo,0
shionogi,"['healthcare', 'pharmaceutical', 'healthcare products']",osaka,shionogi & co. ltd,,osaka,0
mitsui fudosan,"['real estate', 'construction']",tokyo,mitsui fudosan co. ltd,,tokyo,0
china communications construction company,"['industries', 'construction', 'infrastructure', 'construction', 'engineering products', 'engineering services']",beijing,china communications services corp ltd,,beijing,0
take-two interactive software,"['communication services', 'software and it', 'technology', 'video games / mobile games / tech games / casino games', 'entertainment', 'gaming', 'software products']",new york,"take-two interactive software, inc.",,new york,0
