company_name_left,industry_left,headquarters_city_left,company_name_right,industry_right,headquarters_city_right,label
software shift ltd,58290 - Other software publishing,,software & design innovations ltd,58290 - Other software publishing,,0
software services group ltd,62012 - Business and domestic software development,,software hatch ltd,62012 - Business and domestic software development,,0
software 64 ltd,62012 - Business and domestic software development,,software for sales limited,62012 - Business and domestic software development,,0
software services (uk) limited,62012 - Business and domestic software development,,software island limited,62012 - Business and domestic software development,,0
software solution design ltd,62020 - Information technology consultancy activities,,software eats the world ltd,62020 - Information technology consultancy activities,,0
software silo ltd,62020 - Information technology consultancy activities,,software and network solutions ltd.,62020 - Information technology consultancy activities,,0
software silo ltd,62020 - Information technology consultancy activities,,software power tools limited,62020 - Information technology consultancy activities,,0
software solutions consultancy limited,62020 - Information technology consultancy activities,,software developer solutions ltd,62020 - Information technology consultancy activities,,0
software solutions ai limited,62012 - Business and domestic software development,,software imaging group limited,62012 - Business and domestic software development,,0
software solutions and training limited,62012 - Business and domestic software development,,software informatics limited,62012 - Business and domestic software development,,0
software solutions north west limited,62012 - Business and domestic software development,,software acquisitions & licensing limited,62012 - Business and domestic software development,,0
software solutions north west limited,62012 - Business and domestic software development,,software outsourcing services sos limited,62012 - Business and domestic software development,,0
software solutions (midlands) limited,62012 - Business and domestic software development,,software links limited,62012 - Business and domestic software development,,0
software solutions india limited,62012 - Business and domestic software development,,software house limited,62012 - Business and domestic software development,,0
software solutions financial ltd,62020 - Information technology consultancy activities,,software analytics limited,62020 - Information technology consultancy activities,,0
software solutions financial ltd,62020 - Information technology consultancy activities,,software sales management limited,62020 - Information technology consultancy activities,,0
software solved limited,62012 - Business and domestic software development,,software innovators ltd,62012 - Business and domestic software development,,0
software solution systems limited,62012 - Business and domestic software development,,software for healthcare limited,62012 - Business and domestic software development,,0
software solutions south west limited,62090 - Other information technology service activities,,software mosaic limited,62090 - Other information technology service activities,,0
software space ltd,62012 - Business and domestic software development,,software creations limited,62012 - Business and domestic software development,,0
software spectrum (uk) limited,74990 - Non-trading company,,software dynamics (uk) ltd,74990 - Non-trading company,,0
software spv 2 limited,62012 - Business and domestic software development,,software services group ltd,62012 - Business and domestic software development,,0
software support limited,62020 - Information technology consultancy activities,,software project solutions limited,62020 - Information technology consultancy activities,,0
software spv 1 limited,62012 - Business and domestic software development,,software outsourcing services sos limited,62012 - Business and domestic software development,,0
software subscriptions limited,62012 - Business and domestic software development,,software alex coding limited,62012 - Business and domestic software development,,0
software subscriptions limited,62012 - Business and domestic software development,,software professional services limited,62012 - Business and domestic software development,,0
software stuntmen limited,62012 - Business and domestic software development,,software hothouse ltd,62012 - Business and domestic software development,,0
software statements limited,62020 - Information technology consultancy activities,,software analysis and design limited,62020 - Information technology consultancy activities,,0
software statements limited,62020 - Information technology consultancy activities,,software solutions consultancy limited,62020 - Information technology consultancy activities,,0
software strategy limited,62020 - Information technology consultancy activities,,software sales management limited,62020 - Information technology consultancy activities,,0
software surf ltd,62012 - Business and domestic software development,,software island limited,62012 - Business and domestic software development,,0
software surgery limited,62012 - Business and domestic software development,,software for solutions ltd,62012 - Business and domestic software development,,0
software studio ltd,62020 - Information technology consultancy activities,,software capital limited,62020 - Information technology consultancy activities,,0
software studio ltd,62020 - Information technology consultancy activities,,software quality limited,62020 - Information technology consultancy activities,,0
software systems limited,62012 - Business and domestic software development,,software owl ltd,62012 - Business and domestic software development,,0
software system global uk ltd,62020 - Information technology consultancy activities,,software strategy limited,62020 - Information technology consultancy activities,,0
software system support limited,62020 - Information technology consultancy activities,,software fusion technologies limited,62020 - Information technology consultancy activities,,0
software talent ltd,62020 - Information technology consultancy activities,,software and website solutions ltd,62020 - Information technology consultancy activities,,0
software talent ltd,62020 - Information technology consultancy activities,,software power tools limited,62020 - Information technology consultancy activities,,0
software systems developments limited,62012 - Business and domestic software development,,software heads limited,62012 - Business and domestic software development,,0
software systems europe limited,62012 - Business and domestic software development,,software co-operative limited,62012 - Business and domestic software development,,0
software systems europe limited,62012 - Business and domestic software development,,software solutions india limited,62012 - Business and domestic software development,,0
software technology solutions ltd,62012 - Business and domestic software development,,software solutions (warwick) ltd,62012 - Business and domestic software development,,0
software systems and services limited,62020 - Information technology consultancy activities,,software primitives limited,62020 - Information technology consultancy activities,,0
software technologies ltd,62020 - Information technology consultancy activities,,software fabrik ltd,62020 - Information technology consultancy activities,,0
software technologies consulting limited,62012 - Business and domestic software development,,software enterprises (uk) limited,62012 - Business and domestic software development,,0
software technologies consulting limited,62012 - Business and domestic software development,,software systems europe limited,62012 - Business and domestic software development,,0
software tech services limited,62012 - Business and domestic software development,,software imaging group limited,62012 - Business and domestic software development,,0
software tech ltd,62012 - Business and domestic software development,,software enterprises (uk) limited,62012 - Business and domestic software development,,0
software technical management limited,62090 - Other information technology service activities,,software consulting group limited,62090 - Other information technology service activities,,0
food & bits ltd,56102 - Unlicensed restaurants and cafes,,food & beyond holdings limited,70100 - Activities of head offices,,0
food & drink consultancy ltd,47910 - Retail sale via mail order houses or via Internet,,food & beverage connect ltd,47910 - Retail sale via mail order houses or via Internet,,0
food & grocery ltd,"47110 - Retail sale in non-specialised stores with food, beverages or tobacco predominating",,food & fuel limited,56302 - Public houses and bars,,0
food & soul limited,56101 - Licensed restaurants,,food & things ltd,"46370 - Wholesale of coffee, tea, cocoa and spices",,0
food angel ltd,56290 - Other food services,,food and beverage limited,56290 - Other food services,,0
food asia group limited,56290 - Other food services,,food art design ltd,56290 - Other food services,,0
food bank aid,56290 - Other food services,,food baby ltd,10860 - Manufacture of homogenised food preparations and dietetic food,,0
food boxes ltd,56103 - Take-away food shops and mobile food stands,,food booth limited,56103 - Take-away food shops and mobile food stands,,0
food builders ltd,56290 - Other food services,,food angel ltd,56290 - Other food services,,0
food by afsheen ltd,56103 - Take-away food shops and mobile food stands,,food art home ltd,56103 - Take-away food shops and mobile food stands,,0
food by channelle ltd,56103 - Take-away food shops and mobile food stands,,food boxes ltd,56103 - Take-away food shops and mobile food stands,,0
food by sean deli & kitchen ltd,56102 - Unlicensed restaurants and cafes,,food box planet ltd,56102 - Unlicensed restaurants and cafes,,0
food care limited,56103 - Take-away food shops and mobile food stands,,food at 126 ltd,56103 - Take-away food shops and mobile food stands,,0
food cabaret ltd,56103 - Take-away food shops and mobile food stands,,food & curry ltd,56103 - Take-away food shops and mobile food stands,,0
food by us ltd,56103 - Take-away food shops and mobile food stands,,food by sean no600 limited,56101 - Licensed restaurants,,0
food cave ltd,56290 - Other food services,,food by vanessa limited,56290 - Other food services,,0
food channel ltd,56103 - Take-away food shops and mobile food stands,,food capital 24 limited,56103 - Take-away food shops and mobile food stands,,0
food chain kitchen limited,56290 - Other food services,,food checker ltd,56290 - Other food services,,0
food clearance ltd,56290 - Other food services,,food by sarah limited,56290 - Other food services,,0
food clowns ltd,56103 - Take-away food shops and mobile food stands,,food buddy ltd,56103 - Take-away food shops and mobile food stands,,0
food cog limited,56290 - Other food services,,food chain kitchen limited,56290 - Other food services,,0
food coma ltd,56103 - Take-away food shops and mobile food stands,,food city hub ltd,56103 - Take-away food shops and mobile food stands,,0
food conduct ltd,56290 - Other food services,,food builders ltd,56290 - Other food services,,0
food corner wm ltd,56103 - Take-away food shops and mobile food stands,,food bar allerton ltd,56103 - Take-away food shops and mobile food stands,,0
food couture ltd,56103 - Take-away food shops and mobile food stands,,food box beeston ltd,56103 - Take-away food shops and mobile food stands,,0
food crew limited,56103 - Take-away food shops and mobile food stands,,food boxes ltd,56103 - Take-away food shops and mobile food stands,,0
food crafts limited,56102 - Unlicensed restaurants and cafes,,food court middlesbrough limited,56103 - Take-away food shops and mobile food stands,,0
food culture ltd,56103 - Take-away food shops and mobile food stands,,food creative limited,70229 - Management consultancy activities other than financial management,,0
food designers limited,56210 - Event catering activities,,food & event design ltd,56210 - Event catering activities,,0
food diner ltd,56103 - Take-away food shops and mobile food stands,,food bar barnsley ltd,56103 - Take-away food shops and mobile food stands,,0
food division ltd,96090 - Other service activities not elsewhere classified,,food dojo limited,56102 - Unlicensed restaurants and cafes,,0
food dudes trading ltd,56102 - Unlicensed restaurants and cafes,,food court birmingham ltd,56102 - Unlicensed restaurants and cafes,,0
all aboard learning ltd,85600 - Educational support services,,all aboard club cic,85600 - Educational support services,,0
all about beauty online limited,82990 - Other business support service activities not elsewhere classified,,all about behaviour ltd,70229 - Management consultancy activities other than financial management,,0
all about crafts trade limited,99999 - Dormant Company,,all about circles group ltd,99999 - Dormant Company,,0
all about eve tanning solutions ltd,96020 - Hairdressing and other beauty treatment,,all about aesthetics limited,96020 - Hairdressing and other beauty treatment,,0
all about hair (chorley) limited,96020 - Hairdressing and other beauty treatment,,all about face ltd,96020 - Hairdressing and other beauty treatment,,0
all about law limited,70229 - Management consultancy activities other than financial management,,all about anything ltd,70229 - Management consultancy activities other than financial management,,0
all about me health shop ltd,"47990 - Other retail sale not in stores, stalls or markets",,all about me marquees & events ltd,96090 - Other service activities not elsewhere classified,,0
all about pies limited,"47810 - Retail sale via stalls and markets of food, beverages and tobacco products",,all about plumbing and heating ltd,"43220 - Plumbing, heat and air-conditioning installation",,0
all about skin studio ltd,96020 - Hairdressing and other beauty treatment,,all about eve tanning solutions ltd,96020 - Hairdressing and other beauty treatment,,0
all about smart homes ltd,62090 - Other information technology service activities,,all about soft skills limited,70229 - Management consultancy activities other than financial management,,0
all about the dog academy ltd,96090 - Other service activities not elsewhere classified,,all about safes ltd,96090 - Other service activities not elsewhere classified,,0
all about the doll limited,"47990 - Other retail sale not in stores, stalls or markets",,all about me health shop ltd,"47990 - Other retail sale not in stores, stalls or markets",,0
all about the home limited,47190 - Other retail sale in non-specialised stores,,all about fireworks ltd,47190 - Other retail sale in non-specialised stores,,0
all about the trees limited,96090 - Other service activities not elsewhere classified,,all about games consulting limited,96090 - Other service activities not elsewhere classified,,0
all about us - asd teens ltd,82990 - Other business support service activities not elsewhere classified,,all about designs ltd,82990 - Other business support service activities not elsewhere classified,,0
all about wool limited,"47990 - Other retail sale not in stores, stalls or markets",,all about the bean ltd,"47990 - Other retail sale not in stores, stalls or markets",,0
all about you by ashley limited,86900 - Other human health activities,,all about rehab ltd,86900 - Other human health activities,,0
h a c solutions ltd,62020 - Information technology consultancy activities,,h a c technologies limited,74990 - Non-trading company,,0
v & a building limited,41201 - Construction of commercial buildings,,v & a associates limited,70229 - Management consultancy activities other than financial management,,0
v & a holdings limited,74990 - Non-trading company,,v & a it consultant limited,62030 - Computer facilities management activities,,0
h a lauste construction and landscaping ltd,41202 - Construction of domestic buildings,,h a construction ltd,41202 - Construction of domestic buildings,,0
t a francis electrical limited,43210 - Electrical installation,,t a electronics ltd,43210 - Electrical installation,,0
h & a collection ltd,96090 - Other service activities not elsewhere classified,,h & a consortium ltd,86900 - Other human health activities,,0
v & f services limited,56210 - Event catering activities,,v & g (ringwood) limited,56101 - Licensed restaurants,,0
v & j knitwear limited,46420 - Wholesale of clothing and footwear,,v & j holdings limited,68100 - Buying and selling of own real estate,,0
h & a patisserie ltd,96090 - Other service activities not elsewhere classified,,h & a collection ltd,96090 - Other service activities not elsewhere classified,,0
t a moyle construction ltd,43390 - Other building completion and finishing,,t a browne contract services ltd,43390 - Other building completion and finishing,,0
h & a property ventures limited,68209 - Other letting and operating of own or leased real estate,,h a & m properties ltd,68209 - Other letting and operating of own or leased real estate,,0
t & a brothers ltd,"47110 - Retail sale in non-specialised stores with food, beverages or tobacco predominating",,t & a brickwork limited,43390 - Other building completion and finishing,,0
v & m consultancy ltd,"74909 - Other professional, scientific and technical activities not elsewhere classified",,v & m clothing limited,47710 - Retail sale of clothing in specialised stores,,0
h. & a.w.palmer limited,43290 - Other construction installation,,h. & a. wason (kamehill) limited,01460 - Raising of swine/pigs,,0
v & p homes ltd,68100 - Buying and selling of own real estate,,v & b investments ltd,68100 - Buying and selling of own real estate,,0
v & o enterprises limited,96090 - Other service activities not elsewhere classified,,v & b cleaning limited,96090 - Other service activities not elsewhere classified,,0
v & r homes limited,41100 - Development of building projects,,v & m refurbishments ltd,41100 - Development of building projects,,0
v & sm investment limited,68320 - Management of real estate on a fee or contract basis,,v & a properties limited,68320 - Management of real estate on a fee or contract basis,,0
v & r solutions ltd,70229 - Management consultancy activities other than financial management,,v & e consulting ltd,70229 - Management consultancy activities other than financial management,,0
t & a lettings limited,82990 - Other business support service activities not elsewhere classified,,t & a management limited,70229 - Management consultancy activities other than financial management,,0
v & p convenience store ltd,"47110 - Retail sale in non-specialised stores with food, beverages or tobacco predominating",,v & p developments ltd,68209 - Other letting and operating of own or leased real estate,,0
v & n haulage ltd,49410 - Freight transport by road,,v & n limited,"47110 - Retail sale in non-specialised stores with food, beverages or tobacco predominating",,0
seasider finances limited,82990 - Other business support service activities not elsewhere classified,,software minions limited,82990 - Other business support service activities not elsewhere classified,,0
finance surgery limited,64922 - Activities of mortgage finance companies,,finance support (midlands) limited,69202 - Bookkeeping activities,,0
beauty accessories ltd,96020 - Hairdressing and other beauty treatment,,beauty academy london ltd,96020 - Hairdressing and other beauty treatment,,0
beauty aesthetics emsworth ltd,96020 - Hairdressing and other beauty treatment,,beauty aesthetic clinic limited,96020 - Hairdressing and other beauty treatment,,0
beauty alice limited,96020 - Hairdressing and other beauty treatment,,beauty addiction ltd,96020 - Hairdressing and other beauty treatment,,0
beauty & aesthetics nature g&f ltd,96020 - Hairdressing and other beauty treatment,,beauty aesthetic clinic limited,96020 - Hairdressing and other beauty treatment,,0
beauty & beyond studios limited,96020 - Hairdressing and other beauty treatment,,beauty amore limited,96020 - Hairdressing and other beauty treatment,,0
beauty and brows limited,96020 - Hairdressing and other beauty treatment,,beauty aesthetics fife limited,96020 - Hairdressing and other beauty treatment,,0
beauty and bubbles london ltd,96020 - Hairdressing and other beauty treatment,,beauty and brows limited,96020 - Hairdressing and other beauty treatment,,0
beauty and cosmetics limited,96020 - Hairdressing and other beauty treatment,,beauty addiction ltd,96020 - Hairdressing and other beauty treatment,,0
beauty and crush limited,96090 - Other service activities not elsewhere classified,,beauty and colours international u.k limited,96020 - Hairdressing and other beauty treatment,,0
beauty and hair ltd,96020 - Hairdressing and other beauty treatment,,beauty amore limited,96020 - Hairdressing and other beauty treatment,,0
beauty and grooming rooms ltd,96020 - Hairdressing and other beauty treatment,,beauty and cosmetics limited,96020 - Hairdressing and other beauty treatment,,0
beauty & holistic therapy ltd,96040 - Physical well-being activities,,beauty & her nails ltd,96020 - Hairdressing and other beauty treatment,,0
beauty & laser studio ltd,96020 - Hairdressing and other beauty treatment,,beauty aesthetics salon ltd,96020 - Hairdressing and other beauty treatment,,0
beauty and me limited,96020 - Hairdressing and other beauty treatment,,beauty and grooming rooms ltd,96020 - Hairdressing and other beauty treatment,,0
beauty and more (uk) limited,96020 - Hairdressing and other beauty treatment,,beauty & melody kensington limited,96020 - Hairdressing and other beauty treatment,,0
beauty & nails @ bianca limited,96020 - Hairdressing and other beauty treatment,,beauty & melody hair and spa limited,96020 - Hairdressing and other beauty treatment,,0
beauty & nature ltd,96020 - Hairdressing and other beauty treatment,,beauty & aesthetic temple ltd,96020 - Hairdressing and other beauty treatment,,0
beauty and perfection salon limited,96020 - Hairdressing and other beauty treatment,,beauty addiction ltd,96020 - Hairdressing and other beauty treatment,,0
beauty and scissors ltd,96020 - Hairdressing and other beauty treatment,,beauty and bubbles london ltd,96020 - Hairdressing and other beauty treatment,,0
beauty & serenity by nina limited,70229 - Management consultancy activities other than financial management,,beauty & silk ltd,96020 - Hairdressing and other beauty treatment,,0
beauty and skin ltd,96020 - Hairdressing and other beauty treatment,,beauty alice limited,96020 - Hairdressing and other beauty treatment,,0
beauty & skin care ltd,96020 - Hairdressing and other beauty treatment,,beauty & detox spa limited,96020 - Hairdressing and other beauty treatment,,0
beauty and slim art ltd,96020 - Hairdressing and other beauty treatment,,beauty and care essentials ltd,96020 - Hairdressing and other beauty treatment,,0
beauty and spa ltd,96020 - Hairdressing and other beauty treatment,,beauty alice limited,96020 - Hairdressing and other beauty treatment,,0
beauty and style ( london ) limited,96020 - Hairdressing and other beauty treatment,,beauty & co (solihull) limited,96020 - Hairdressing and other beauty treatment,,0
beauty and the babe ltd,88910 - Child day-care activities,,beauty and symmetry ltd,74201 - Portrait photographic activities,,0
beauty and the barista ltd,96020 - Hairdressing and other beauty treatment,,beauty & aesthetics by sonia dale ltd,96020 - Hairdressing and other beauty treatment,,0
beauty and the beast limited,96020 - Hairdressing and other beauty treatment,,beauty and aesthetics by elw ltd,96020 - Hairdressing and other beauty treatment,,0
beauty & the beach limited,96020 - Hairdressing and other beauty treatment,,beauty and blush ltd,96020 - Hairdressing and other beauty treatment,,0
beauty and the beast tattoo limited,96020 - Hairdressing and other beauty treatment,,beauty and colours international u.k limited,96020 - Hairdressing and other beauty treatment,,0
beauty and the best ltd,96020 - Hairdressing and other beauty treatment,,beauty & nature ltd,96020 - Hairdressing and other beauty treatment,,0
beauty and the brows essex limited,96020 - Hairdressing and other beauty treatment,,beauty and more (uk) limited,96020 - Hairdressing and other beauty treatment,,0
beauty & the boutique limited,47910 - Retail sale via mail order houses or via Internet,,beauty & style direct ltd,47910 - Retail sale via mail order houses or via Internet,,0
beauty & the juice ltd,96020 - Hairdressing and other beauty treatment,,beauty aesthetics emsworth ltd,96020 - Hairdressing and other beauty treatment,,0
beauty and the ink ltd,96020 - Hairdressing and other beauty treatment,,beauty addiction nails ltd,96020 - Hairdressing and other beauty treatment,,0
beauty & the needle aesthetics ltd,96020 - Hairdressing and other beauty treatment,,beauty aesthetic lounge limited,96020 - Hairdressing and other beauty treatment,,0
beauty and therapy clinic limited,96020 - Hairdressing and other beauty treatment,,beauty & her nails ltd,96020 - Hairdressing and other beauty treatment,,0
beauty and the needle ltd,96020 - Hairdressing and other beauty treatment,,beauty and tanning (leeds) limited,96020 - Hairdressing and other beauty treatment,,0
beauty and you ltd,"47990 - Other retail sale not in stores, stalls or markets",,beauty and therapy clinic limited,96020 - Hairdressing and other beauty treatment,,0
beauty & wholeness bar ltd,96020 - Hairdressing and other beauty treatment,,beauty & the label ltd,96020 - Hairdressing and other beauty treatment,,0
beauty & wellness ltd,96020 - Hairdressing and other beauty treatment,,beauty and the needle ltd,96020 - Hairdressing and other beauty treatment,,0
beauty & well-being limited,96020 - Hairdressing and other beauty treatment,,beauty & the label ltd,96020 - Hairdressing and other beauty treatment,,0
beauty angels (nw) ltd,96020 - Hairdressing and other beauty treatment,,beauty aesthetics salon ltd,96020 - Hairdressing and other beauty treatment,,0
beauty angels (nw) ltd,96020 - Hairdressing and other beauty treatment,,beauty angel london limited,96020 - Hairdressing and other beauty treatment,,0
beauty angelos ltd,96020 - Hairdressing and other beauty treatment,,beauty and the beast limited,96020 - Hairdressing and other beauty treatment,,0
beauty anka ltd,96020 - Hairdressing and other beauty treatment,,beauty and the bride limited,96020 - Hairdressing and other beauty treatment,,0
beauty angels uk limited,96020 - Hairdressing and other beauty treatment,,beauty and skin ltd,96020 - Hairdressing and other beauty treatment,,0
beauty appreciation limited,96020 - Hairdressing and other beauty treatment,,beauty & nature ltd,96020 - Hairdressing and other beauty treatment,,0
beauty angels spa ltd,96020 - Hairdressing and other beauty treatment,,beauty and care essentials ltd,96020 - Hairdressing and other beauty treatment,,0
beauty arena ltd,98200 - Undifferentiated service-producing activities of private households for own use,,beauty appreciation limited,96020 - Hairdressing and other beauty treatment,,0
beauty as limited,96020 - Hairdressing and other beauty treatment,,beauty & well-being limited,96020 - Hairdressing and other beauty treatment,,0
beauty artist by bianca limited,96020 - Hairdressing and other beauty treatment,,beauty angels uk limited,96020 - Hairdressing and other beauty treatment,,0
beauty asthetics limited,96020 - Hairdressing and other beauty treatment,,beauty & aesthetics nature g&f ltd,96020 - Hairdressing and other beauty treatment,,0
beauty asthetics limited,96020 - Hairdressing and other beauty treatment,,beauty angels spa ltd,96020 - Hairdressing and other beauty treatment,,0
beauty at belle vie limited,96020 - Hairdressing and other beauty treatment,,beauty and the barista ltd,96020 - Hairdressing and other beauty treatment,,0
beauty at beaumedic ltd,96020 - Hairdressing and other beauty treatment,,beauty and spa ltd,96020 - Hairdressing and other beauty treatment,,0
beauty at brickstables ltd,96020 - Hairdressing and other beauty treatment,,beauty and hair ltd,96020 - Hairdressing and other beauty treatment,,0
beauty at doncaster ltd,96020 - Hairdressing and other beauty treatment,,beauty anchor aesthetics limited,96020 - Hairdressing and other beauty treatment,,0
beauty atelier ltd,96020 - Hairdressing and other beauty treatment,,beauty academy london ltd,96020 - Hairdressing and other beauty treatment,,0
beauty atelier by paula tanda ltd,96020 - Hairdressing and other beauty treatment,,beauty and the best ltd,96020 - Hairdressing and other beauty treatment,,0
beauty at halo ltd,96020 - Hairdressing and other beauty treatment,,beauty and style ( london ) limited,96020 - Hairdressing and other beauty treatment,,0
beauty at evolve limited,96020 - Hairdressing and other beauty treatment,,beauty and cosmetics limited,96020 - Hairdressing and other beauty treatment,,0
beauty at hand limited,47910 - Retail sale via mail order houses or via Internet,,beauty & the blend ltd,47910 - Retail sale via mail order houses or via Internet,,0
beauty at home ltd,96020 - Hairdressing and other beauty treatment,,beauty &tanning box limited,96020 - Hairdressing and other beauty treatment,,0
beauty at highfield ltd,96020 - Hairdressing and other beauty treatment,,beauty & laser ltd,96020 - Hairdressing and other beauty treatment,,0
beauty at heart (warrington) ltd,96020 - Hairdressing and other beauty treatment,,beauty and the ink ltd,96020 - Hairdressing and other beauty treatment,,0
beauty at hearts boutique ltd,96020 - Hairdressing and other beauty treatment,,beauty and the ink ltd,96020 - Hairdressing and other beauty treatment,,0
beauty at heart ltd,96020 - Hairdressing and other beauty treatment,,beauty & aesthetic temple ltd,96020 - Hairdressing and other beauty treatment,,0
beauty at nail spa ltd,96020 - Hairdressing and other beauty treatment,,beauty accessories ltd,96020 - Hairdressing and other beauty treatment,,0
beauty at nail spa ltd,96020 - Hairdressing and other beauty treatment,,beauty angel london limited,96020 - Hairdressing and other beauty treatment,,0
beauty at mine ltd,96020 - Hairdressing and other beauty treatment,,beauty and more (uk) limited,96020 - Hairdressing and other beauty treatment,,0
beauty at megan's ltd,96020 - Hairdressing and other beauty treatment,,beauty alice limited,96020 - Hairdressing and other beauty treatment,,0
beauty at megan's ltd,96020 - Hairdressing and other beauty treatment,,beauty at evolve limited,96020 - Hairdressing and other beauty treatment,,0
beauty at no. 1 limited,96020 - Hairdressing and other beauty treatment,,beauty & the brow ltd,96020 - Hairdressing and other beauty treatment,,0
beauty at niha ltd,96020 - Hairdressing and other beauty treatment,,beauty and bubbles ltd,96020 - Hairdressing and other beauty treatment,,0
beauty at niha ltd,96020 - Hairdressing and other beauty treatment,,beauty at hearts boutique ltd,96020 - Hairdressing and other beauty treatment,,0
beauty at maddison avenue limited,96020 - Hairdressing and other beauty treatment,,beauty asthetics limited,96020 - Hairdressing and other beauty treatment,,0
beauty at no. 6 ltd,96020 - Hairdressing and other beauty treatment,,beauty & nature ltd,96020 - Hairdressing and other beauty treatment,,0
beauty at no.25 ltd.,96020 - Hairdressing and other beauty treatment,,beauty ace limited,96020 - Hairdressing and other beauty treatment,,0
beauty at no.25 ltd.,96020 - Hairdressing and other beauty treatment,,beauty at doncaster ltd,96020 - Hairdressing and other beauty treatment,,0
beauty at no.26 ltd,96020 - Hairdressing and other beauty treatment,,beauty & her nails ltd,96020 - Hairdressing and other beauty treatment,,0
beauty at tanners ltd,86900 - Other human health activities,,beauty allure limited,86900 - Other human health activities,,0
beauty at number 1 limited,96020 - Hairdressing and other beauty treatment,,beauty and the brows essex limited,96020 - Hairdressing and other beauty treatment,,0
beauty at the chop limited,96020 - Hairdressing and other beauty treatment,,beauty aesthetics salon ltd,96020 - Hairdressing and other beauty treatment,,0
beauty at the chop limited,96020 - Hairdressing and other beauty treatment,,beauty at nail spa ltd,96020 - Hairdressing and other beauty treatment,,0
beauty at the bay ltd,96020 - Hairdressing and other beauty treatment,,beauty and nail bar limited,96020 - Hairdressing and other beauty treatment,,0
beauty at the barn ltd,96020 - Hairdressing and other beauty treatment,,beauty aesthetic lounge ltd,96020 - Hairdressing and other beauty treatment,,0
beauty at the barn ltd,96020 - Hairdressing and other beauty treatment,,beauty & wellness ltd,96020 - Hairdressing and other beauty treatment,,0
beauty at the avenue limited,96020 - Hairdressing and other beauty treatment,,beauty & nature ltd,96020 - Hairdressing and other beauty treatment,,0
beauty at tiffany’s ltd,96020 - Hairdressing and other beauty treatment,,beauty addiction nails ltd,96020 - Hairdressing and other beauty treatment,,0
beauty at tiffany’s ltd,96020 - Hairdressing and other beauty treatment,,beauty at belle vie limited,96020 - Hairdressing and other beauty treatment,,0
beauty at the vinery limited,96020 - Hairdressing and other beauty treatment,,beauty and nail bar limited,96020 - Hairdressing and other beauty treatment,,0
beauty at the uber ltd,96020 - Hairdressing and other beauty treatment,,beauty aesthetics emsworth ltd,96020 - Hairdressing and other beauty treatment,,0
beauty at the uber ltd,96020 - Hairdressing and other beauty treatment,,beauty angelos ltd,96020 - Hairdressing and other beauty treatment,,0
beauty at the gate limited,96020 - Hairdressing and other beauty treatment,,beauty and perfection salon limited,96020 - Hairdressing and other beauty treatment,,0
beauty avenue salon & spa ltd,96020 - Hairdressing and other beauty treatment,,beauty and scissors ltd,96020 - Hairdressing and other beauty treatment,,0
beauty at work ltd,96020 - Hairdressing and other beauty treatment,,beauty and more (uk) limited,96020 - Hairdressing and other beauty treatment,,0
beauty bando limited,96020 - Hairdressing and other beauty treatment,,beauty academy london ltd,96020 - Hairdressing and other beauty treatment,,0
beauty bando limited,96020 - Hairdressing and other beauty treatment,,beauty angels (nw) ltd,96020 - Hairdressing and other beauty treatment,,0
beauty bae academy limited,96020 - Hairdressing and other beauty treatment,,beauty and cosmetics limited,96020 - Hairdressing and other beauty treatment,,0
beauty bankks ltd,96020 - Hairdressing and other beauty treatment,,beauty above limited,96020 - Hairdressing and other beauty treatment,,0
beauty bankks ltd,96020 - Hairdressing and other beauty treatment,,beauty at beaumedic ltd,96020 - Hairdressing and other beauty treatment,,0
beauty bar (calcot) ltd,96020 - Hairdressing and other beauty treatment,,beauty and more (uk) limited,96020 - Hairdressing and other beauty treatment,,0
beauty bar (calcot) ltd,96020 - Hairdressing and other beauty treatment,,beauty at no.26 ltd,96020 - Hairdressing and other beauty treatment,,0
beauty bar at the mill ltd,96020 - Hairdressing and other beauty treatment,,beauty & the beach limited,96020 - Hairdressing and other beauty treatment,,0
beauty bar at the mill ltd,96020 - Hairdressing and other beauty treatment,,beauty bar (calcot) ltd,96020 - Hairdressing and other beauty treatment,,0
beauty bar desborough ltd,96020 - Hairdressing and other beauty treatment,,beauty at hearts boutique ltd,96020 - Hairdressing and other beauty treatment,,0
beauty bar (kettering) ltd,96020 - Hairdressing and other beauty treatment,,beauty anka ltd,96020 - Hairdressing and other beauty treatment,,0
beauty bar (hinckley) ltd,96020 - Hairdressing and other beauty treatment,,beauty & the juice ltd,96020 - Hairdressing and other beauty treatment,,0
beauty bar products ltd,47750 - Retail sale of cosmetic and toilet articles in specialised stores,,beauty and seoul limited,47750 - Retail sale of cosmetic and toilet articles in specialised stores,,0
beauty bar one limited,96020 - Hairdressing and other beauty treatment,,beauty and style ( london ) limited,96020 - Hairdressing and other beauty treatment,,0
beauty bar nw ltd,96020 - Hairdressing and other beauty treatment,,beauty academy manuals ltd,96020 - Hairdressing and other beauty treatment,,0
beauty bar nw ltd,96020 - Hairdressing and other beauty treatment,,beauty & wellness ltd,96020 - Hairdressing and other beauty treatment,,0
beauty barn clinic limited,96020 - Hairdressing and other beauty treatment,,beauty and hairdressing limited,96020 - Hairdressing and other beauty treatment,,0
beauty barn clinic limited,96020 - Hairdressing and other beauty treatment,,beauty barks ltd,96090 - Other service activities not elsewhere classified,,0
